unit_id,tag,description_old,letter_class_old,description_class_old,classes_agree_old,source_file_old,source_sheet_old,description_new,letter_class_new,description_class_new,classes_agree_new,source_file_new,source_sheet_new,unit
AVT,T66,Переток в К-9,temperature,flow,False,Теги_хакатон.xlsx,КИП,Температура перетока в К-9,temperature,temperature,True,теги АВТ_24-2000.xlsx,АВТ,"температура, °C"
AVT,P67,Давление верха К2.,pressure,pressure,True,Теги_хакатон.xlsx,КИП,Давление верха К-2 (доп. точка),pressure,pressure,True,теги АВТ_24-2000.xlsx,АВТ,"давление, МПа"
AVT,F68,Расход гудрона с установки,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход гудрона с установки (реальный),flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,F69,Расход гудрона с установки,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход гудрона с установки (виртуальный),flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,W70,Массовый расход фр.290-350°С с установки,mass_flow_or_other,flow,True,Теги_хакатон.xlsx,КИП,Массовый расход фр. 290-350 с установки,mass_flow_or_other,flow,True,теги АВТ_24-2000.xlsx,АВТ,"масс.расход, т/ч"
AVT,T71,Фр.290-350°С из К-2,temperature,unknown,False,Теги_хакатон.xlsx,КИП,Температура фр. 290-350 из К-2,temperature,temperature,True,теги АВТ_24-2000.xlsx,АВТ,"температура, °C"
24-2000,F1,Расход бензина c установки,flow,flow,True,Теги_хакатон.xlsx,КИП,"Расход бензина с установки, объемный",flow,flow,True,теги АВТ_24-2000.xlsx,24-2000,"расход, м³/ч"
24-2000,F2,Газовая схема. Расход на линии от ЦК-201,flow,flow,True,Теги_хакатон.xlsx,КИП,Газовая схема. Расход газа на линии от ЦК-201,flow,flow,True,теги АВТ_24-2000.xlsx,24-2000,"расход газа, нм³/ч"
24-2000,P3,Полисеп. Сепаратор С-201. Давление на входе,pressure,pressure,True,Теги_хакатон.xlsx,КИП,Полисеп. Сепаратор С-201. Давление на входе,pressure,pressure,True,теги АВТ_24-2000.xlsx,24-2000,"давление, МПа"
24-2000,W4,Блок стабилизации. Массовый расход бензина в колонну К-206,mass_flow_or_other,flow,True,Теги_хакатон.xlsx,КИП,К-206. Массовый расход бензина в колонну,mass_flow_or_other,flow,True,теги АВТ_24-2000.xlsx,24-2000,"масс.расход, т/ч"
24-2000,T5,Полисеп. Реактор Р-201. Температура ГСС на выходе,temperature,temperature,True,Теги_хакатон.xlsx,КИП,Полисеп. Р-201. Температура ГСС на выходе,temperature,temperature,True,теги АВТ_24-2000.xlsx,24-2000,"температура, °C"
24-2000,T6,"Поточный анализатор серы в дизельном топливе между коллекторами нагнетания и приёма Н-202/1,2",temperature,quality,False,Теги_хакатон.xlsx,КИП,Полисеп. Р-202. Температура ГСС на входе,temperature,temperature,True,теги АВТ_24-2000.xlsx,24-2000,"температура, °C"
24-2000,W7,Блок стабилизации. Поточный анализатор содержания серы в гидроочищенном ДТ,mass_flow_or_other,quality,False,Теги_хакатон.xlsx,КИП,"К-201. Расход газа поддува на входе, массовый",mass_flow_or_other,flow,True,теги АВТ_24-2000.xlsx,24-2000,"масс.расход газа, т/ч"
24-2000,P8,Полисеп. Реактор Р-202. Температура гсс на входе,pressure,temperature,False,Теги_хакатон.xlsx,КИП,Реактор Р-202. Перепад давления,pressure,pressure,True,теги АВТ_24-2000.xlsx,24-2000,"перепад, МПа"
24-2000,F9,Блок стабилизации. Расход газа поддува на входе в К-201. Массовый расход (АС КУБ),flow,flow,True,Теги_хакатон.xlsx,КИП,"Расход сырья на установку, массовый",flow,flow,True,теги АВТ_24-2000.xlsx,24-2000,"масс.расход, т/ч"
24-2000,W10,Реактор Р-202. Перепад давления.,mass_flow_or_other,pressure,True,Теги_хакатон.xlsx,КИП,"Расход бензина с установки, массовый",mass_flow_or_other,flow,True,теги АВТ_24-2000.xlsx,24-2000,"масс.расход, т/ч"
24-2000,T11,Расход сырья на установку (массовый),temperature,flow,False,Теги_хакатон.xlsx,КИП,Полисеп. Трубопровод на выходе из Р-202. Температура ГСС / продукта,temperature,temperature,True,теги АВТ_24-2000.xlsx,24-2000,"температура, °C"
24-2000,T12,Расход бензина c установки,temperature,flow,False,Теги_хакатон.xlsx,КИП,"К-201. Температура верха колонны, бензин, УВГ, H2S",temperature,temperature,True,теги АВТ_24-2000.xlsx,24-2000,"температура, °C"
24-2000,P13,Трубопровод на выходе из реактора Р-202: Качество продукции по S,pressure,quality,False,Теги_хакатон.xlsx,КИП,Полисеп. Р-202. Давление на входе,pressure,pressure,True,теги АВТ_24-2000.xlsx,24-2000,"давление, МПа"
24-2000,F14,"Блок стабилизации. Температура верха колонны К-201 /бензин,УВГ,Н2S",flow,temperature,False,Теги_хакатон.xlsx,КИП,Полисеп. Расход квенча в реактор Р-202,flow,flow,True,теги АВТ_24-2000.xlsx,24-2000,"расход, т/ч"
24-2000,F15,Полисеп. Расход квенча в реактор Р-202,flow,flow,True,Теги_хакатон.xlsx,КИП,"Расход сырья на установку, объемный",flow,flow,True,теги АВТ_24-2000.xlsx,24-2000,"расход, м³/ч"
24-2000,T16,Блок стабилизации. Колонна К-201. Температура стабильного гидрогенизата низ,temperature,temperature,True,Теги_хакатон.xlsx,КИП,Блок стабилизации. Температура в сепараторе С-205,temperature,temperature,True,теги АВТ_24-2000.xlsx,24-2000,"температура, °C"
24-2000,F17,Расход гидроочищенного ДТ в цех №8 c установки,flow,flow,True,Теги_хакатон.xlsx,КИП,"Расход гидроочищенного ДТ в цех №8, массовый",flow,flow,True,теги АВТ_24-2000.xlsx,24-2000,"масс.расход, т/ч"
24-2000,T18,Блок стабилизации. Колонна К-201. Давление на выходе,temperature,pressure,False,Теги_хакатон.xlsx,КИП,"ВАК. Температура вспышки ГОДТ, аналитический показатель",temperature,temperature,True,теги АВТ_24-2000.xlsx,24-2000,°C
24-2000,F19,Полисеп. Реактор Р-202. Давление на входе,flow,pressure,False,Теги_хакатон.xlsx,КИП,К-201. Расход бензина в колонну,flow,flow,True,теги АВТ_24-2000.xlsx,24-2000,"расход, т/ч"
24-2000,Q20,Блок стабилизации. Расход бензина в колонну К-201,flow_or_quality,flow,True,Теги_хакатон.xlsx,КИП,"Поточный анализатор серы в ДТ, Н-202/1,2",flow_or_quality,quality,True,теги АВТ_24-2000.xlsx,24-2000,"сера, ppm"
24-2000,Q21,Блок стабилизации. Расход газа поддува на входе в К-201,flow_or_quality,flow,True,Теги_хакатон.xlsx,КИП,Поточный анализатор серы в г/о ДТ,flow_or_quality,quality,True,теги АВТ_24-2000.xlsx,24-2000,"сера, ppm"
24-2000,F22,Блок стабилизации. Расход газа поддува на входе в К-201Температура в сепараторе С-205,flow,temperature,False,Теги_хакатон.xlsx,КИП,"К-201. Расход газа поддува на входе, объемный",flow,flow,True,теги АВТ_24-2000.xlsx,24-2000,"расход газа, нм³/ч"
24-2000,T23,Расход гидроочищенного ДТ в цех №8 c установки,temperature,flow,False,Теги_хакатон.xlsx,КИП,"К-201. Температура низа колонны, стабилизированный гидрогенизат",temperature,temperature,True,теги АВТ_24-2000.xlsx,24-2000,"температура, °C"
24-2000,P24,Расход свежего ВСГ с КЦА на установку,pressure,flow,False,Теги_хакатон.xlsx,КИП,К-201. Давление на выходе колонны,pressure,pressure,True,теги АВТ_24-2000.xlsx,24-2000,"давление, МПа"
24-2000,F25,"APC. Показания виртуального анализатора ""Температура вспышки ГОДТ""",flow,temperature,False,Теги_хакатон.xlsx,КИП,Расход свежего ВСГ с КЦА на установку,flow,flow,True,теги АВТ_24-2000.xlsx,24-2000,"расход ВСГ, нм³/ч"
24-2000,F26,Расход сырья на установку (объемный),flow,flow,True,Теги_хакатон.xlsx,КИП,"Расход гидроочищенного ДТ в цех №8, объемный",flow,flow,True,теги АВТ_24-2000.xlsx,24-2000,"расход, м³/ч"
